datetime,open,high,low,close,volume
2018-12-09 05:00:00,90.64,91.09,89.95,90.43,10990.17
2018-12-09 06:00:00,90.43,91.53,89.01,91.47,18751.2
2018-12-09 07:00:00,91.47,92.0,90.0,90.08,15890.47
2018-12-09 08:00:00,90.08,90.98,90.08,90.74,11717.46
2018-12-09 09:00:00,90.74,91.15,90.21,90.44,9669.12
2018-12-09 10:00:00,90.44,90.58,89.51,89.67,13516.45
2018-12-09 11:00:00,89.67,91.41,88.63,90.64,22188.51
2018-12-09 12:00:00,90.64,91.48,90.13,90.45,15912.16
2018-12-09 13:00:00,90.45,93.14,90.24,92.59,21885.01
2018-12-09 14:00:00,92.59,95.21,92.58,93.35,55110.79
2018-12-09 15:00:00,93.35,96.7,93.26,95.54,40941.52
2018-12-09 16:00:00,95.54,97.0,94.48,95.85,33070.76
2018-12-09 17:00:00,95.85,98.7,95.15,95.26,50270.47
2018-12-09 18:00:00,95.26,96.56,95.05,95.89,19061.52
2018-12-09 19:00:00,95.89,96.52,94.44,96.34,22670.99
2018-12-09 20:00:00,96.34,96.55,94.6,95.29,19160.56
2018-12-09 21:00:00,95.29,95.46,93.2,93.52,20146.95
2018-12-09 22:00:00,93.52,94.38,92.74,92.93,16879.34
2018-12-09 23:00:00,92.93,94.17,92.65,93.26,15733.32
2018-12-10 00:00:00,93.26,95.21,88.11,89.91,408573.03
2018-12-10 01:00:00,94.17,95.21,93.39,93.57,13555.45
2018-12-10 02:00:00,93.57,93.94,92.06,92.54,14774.31
2018-12-10 03:00:00,92.54,93.03,91.47,92.85,18735.16
2018-12-10 04:00:00,92.85,92.94,91.93,92.39,10733.46
2018-12-10 05:00:00,92.39,92.79,92.0,92.22,8857.41
2018-12-10 06:00:00,92.22,92.4,90.04,91.08,25734.52
2018-12-10 07:00:00,91.08,92.0,90.64,91.61,13306.66
2018-12-10 08:00:00,91.61,91.79,90.88,91.06,14324.77
2018-12-10 09:00:00,91.06,92.2,90.3,92.2,21424.79
2018-12-10 10:00:00,92.2,92.2,91.42,91.79,14273.82
2018-12-10 11:00:00,91.79,92.62,91.47,91.81,14636.28
2018-12-10 12:00:00,91.81,91.82,90.64,91.1,18436.44
2018-12-10 13:00:00,91.1,92.2,91.08,91.83,10812.32
2018-12-10 14:00:00,91.83,92.03,90.56,90.77,19438.94
2018-12-10 15:00:00,90.77,90.77,88.53,89.07,39413.92
2018-12-10 16:00:00,89.07,91.69,88.11,90.14,41456.96
2018-12-10 17:00:00,90.14,90.18,88.4,89.67,13332.41
2018-12-10 18:00:00,89.67,90.18,88.9,89.41,13146.92
2018-12-10 19:00:00,89.41,89.8,88.33,88.72,16376.83
2018-12-10 20:00:00,88.72,90.09,88.4,89.76,18249.5
2018-12-10 21:00:00,89.76,90.3,89.5,89.63,14837.63
2018-12-10 22:00:00,89.63,90.24,89.0,90.2,5273.79
2018-12-10 23:00:00,90.2,90.38,89.8,89.91,7664.45
2018-12-11 00:00:00,89.91,91.65,85.83,87.76,339991.84
2018-12-11 01:00:00,89.77,89.83,88.6,89.17,11276.0
2018-12-11 02:00:00,89.17,89.55,88.76,89.31,6467.65
2018-12-11 03:00:00,89.31,89.79,89.09,89.43,7651.3
2018-12-11 04:00:00,89.43,91.0,89.42,90.39,16752.26
2018-12-11 05:00:00,90.39,91.56,90.26,91.06,10777.77
2018-12-11 06:00:00,91.06,91.65,90.45,90.45,14345.28
2018-12-11 07:00:00,90.45,90.7,88.88,89.71,17750.02
2018-12-11 08:00:00,89.71,90.32,89.32,90.32,13251.94
2018-12-11 09:00:00,90.32,90.72,89.68,89.83,11075.75
2018-12-11 10:00:00,89.83,90.0,87.02,87.39,39803.26
2018-12-11 11:00:00,87.39,87.9,86.6,87.44,25491.68
2018-12-11 12:00:00,87.44,87.56,86.91,87.23,18086.73
2018-12-11 13:00:00,87.23,88.37,87.11,87.46,14668.74
2018-12-11 14:00:00,87.46,87.61,86.34,87.0,17045.15
2018-12-11 15:00:00,87.0,87.75,86.42,86.64,13155.27
2018-12-11 16:00:00,86.64,87.17,85.83,87.09,17695.36
2018-12-11 17:00:00,87.09,87.94,86.79,87.41,11206.61
2018-12-11 18:00:00,87.41,87.51,86.63,87.14,7933.55
2018-12-11 19:00:00,87.14,87.3,86.65,87.12,8328.71
2018-12-11 20:00:00,87.12,87.62,86.97,87.59,7918.54
2018-12-11 21:00:00,87.59,89.43,87.49,88.77,23849.6
2018-12-11 22:00:00,88.77,88.79,87.68,88.02,8929.75
2018-12-11 23:00:00,88.02,88.62,87.52,87.76,6629.26
2018-12-12 00:00:00,87.76,87.79,86.63,87.47,10062.92
2018-12-12 01:00:00,87.47,87.67,87.11,87.54,4565.8
2018-12-12 02:00:00,87.54,88.47,87.39,88.15,11459.83
2018-12-12 03:00:00,88.15,88.41,87.15,87.32,9607.69
2018-12-12 04:00:00,87.32,87.77,86.96,87.75,7782.71
2018-12-12 05:00:00,87.75,88.3,87.6,87.87,9772.29
2018-12-12 06:00:00,87.87,89.5,87.72,88.47,16705.1
2018-12-12 07:00:00,88.47,89.2,88.4,88.88,16532.11
2018-12-12 08:00:00,88.88,89.14,88.3,88.66,8306.05
2018-12-12 09:00:00,88.66,89.53,88.53,89.01,9854.44
2018-12-12 10:00:00,89.01,90.4,89.01,90.13,21802.18
2018-12-12 11:00:00,90.13,91.16,89.32,89.6,21637.41
2018-12-12 12:00:00,89.6,89.97,89.22,89.4,10695.2
2018-12-12 13:00:00,89.4,89.65,88.94,89.22,13158.15
2018-12-12 14:00:00,89.22,90.42,88.93,89.29,15784.42
2018-12-12 15:00:00,89.29,91.2,88.87,90.39,22061.66
2018-12-12 16:00:00,90.39,91.31,89.93,90.2,22000.17
2018-12-12 17:00:00,90.2,90.46,89.53,90.38,11541.05
2018-12-12 18:00:00,90.38,90.5,90.0,90.27,4835.08
2018-12-12 19:00:00,90.27,90.33,89.8,90.06,6196.39
2018-12-12 20:00:00,90.06,90.51,89.97,90.16,7987.89
2018-12-12 21:00:00,90.16,90.95,90.06,90.36,7632.03
2018-12-12 22:00:00,90.36,90.49,88.9,89.16,8849.67
2018-12-12 23:00:00,89.16,89.53,88.85,89.41,6605.79
2018-12-13 00:00:00,89.41,89.75,89.01,89.28,5464.91
2018-12-13 01:00:00,89.28,89.35,88.26,88.32,15394.1
2018-12-13 02:00:00,88.32,88.85,88.2,88.67,7967.0
2018-12-13 03:00:00,88.67,88.9,88.4,88.84,5900.8
2018-12-13 04:00:00,88.84,88.85,88.01,88.28,9251.72
2018-12-13 05:00:00,88.28,88.52,87.77,88.46,10101.19
2018-12-13 06:00:00,88.46,88.61,88.0,88.51,9627.81
2018-12-13 07:00:00,88.51,89.01,88.32,89.0,9577.76
2018-12-13 08:00:00,89.0,89.31,88.6,89.29,14825.95
2018-12-13 09:00:00,89.29,89.79,89.09,89.18,10014.15
2018-12-13 10:00:00,89.18,89.46,88.88,89.44,7795.03
2018-12-13 11:00:00,89.44,89.49,88.62,88.74,9841.52
2018-12-13 12:00:00,88.74,90.33,88.73,90.31,19699.95
2018-12-13 13:00:00,90.31,90.64,89.8,89.97,10540.77
2018-12-13 14:00:00,89.97,90.35,89.88,90.05,7953.76
2018-12-13 15:00:00,90.05,90.68,89.85,90.45,10618.59
2018-12-13 16:00:00,90.45,90.71,89.95,90.08,8456.33
2018-12-13 17:00:00,90.08,90.21,89.44,89.54,7854.06
2018-12-13 18:00:00,89.54,89.77,89.4,89.66,4473.27
2018-12-13 19:00:00,89.66,89.83,86.23,86.97,31166.49
2018-12-13 20:00:00,86.97,87.36,84.71,85.24,51610.44
2018-12-13 21:00:00,85.24,85.99,84.78,85.32,26426.67
2018-12-13 22:00:00,85.32,85.98,84.77,85.52,22153.24
2018-12-13 23:00:00,85.52,86.44,85.42,86.34,14502.78
2018-12-14 00:00:00,86.34,87.25,85.0,86.53,18456.69
2018-12-14 01:00:00,86.53,86.93,86.47,86.8,6939.71
2018-12-14 02:00:00,86.8,86.87,85.91,86.29,13229.67
2018-12-14 03:00:00,86.29,86.44,85.63,86.15,12999.28
2018-12-14 04:00:00,86.15,86.81,86.01,86.78,8020.3
2018-12-14 05:00:00,86.78,86.87,86.01,86.17,7560.99
2018-12-14 06:00:00,86.17,86.67,86.09,86.65,6294.43
